time_iso8601,stars_cumulative
2024-01-14 00:00:00+00:00,1
2024-07-10 00:00:00+00:00,2
2024-11-05 00:00:00+00:00,3
2024-11-19 00:00:00+00:00,4
2024-12-20 00:00:00+00:00,5
2025-01-08 00:00:00+00:00,6
2025-01-12 00:00:00+00:00,8
2025-01-16 00:00:00+00:00,9
2025-01-20 00:00:00+00:00,10
2025-01-21 00:00:00+00:00,11
2025-02-19 00:00:00+00:00,12
2025-02-24 00:00:00+00:00,13
2025-03-16 00:00:00+00:00,14
2025-03-17 00:00:00+00:00,15
2025-03-29 00:00:00+00:00,16
2025-04-15 00:00:00+00:00,17
2025-04-17 00:00:00+00:00,18
2025-05-17 00:00:00+00:00,21
2025-05-18 00:00:00+00:00,23
2025-05-19 00:00:00+00:00,24
2025-06-17 00:00:00+00:00,25
2025-07-22 00:00:00+00:00,26
2025-09-10 00:00:00+00:00,27
2025-09-13 00:00:00+00:00,28
