time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-01 00:00:00+00:00,1,1,10,4
2024-07-02 00:00:00+00:00,0,0,19,4
2024-07-03 00:00:00+00:00,0,0,123,12
2024-07-04 00:00:00+00:00,0,0,43,7
2024-07-05 00:00:00+00:00,0,0,12,3
2024-07-06 00:00:00+00:00,0,0,23,4
2024-07-07 00:00:00+00:00,0,0,108,6
2024-07-08 00:00:00+00:00,0,0,25,4
2024-07-09 00:00:00+00:00,0,0,75,9
2024-07-10 00:00:00+00:00,0,0,12,3
2024-07-11 00:00:00+00:00,0,0,9,2
2024-07-12 00:00:00+00:00,0,0,25,4
2024-07-13 00:00:00+00:00,0,0,17,4
2024-07-14 00:00:00+00:00,0,0,47,4
2024-07-15 00:00:00+00:00,4,2,214,9
2024-07-16 00:00:00+00:00,1,1,24,6
2024-07-17 00:00:00+00:00,0,0,22,5
2024-07-18 00:00:00+00:00,0,0,29,6
2024-07-19 00:00:00+00:00,0,0,60,6
2024-07-20 00:00:00+00:00,1,1,73,5
2024-07-21 00:00:00+00:00,4,1,105,6
2024-07-22 00:00:00+00:00,3,2,46,6
2024-07-23 00:00:00+00:00,0,0,67,6
2024-07-25 00:00:00+00:00,3,1,61,6
2024-07-26 00:00:00+00:00,0,0,98,7
2024-07-27 00:00:00+00:00,1,1,14,5
2024-07-28 00:00:00+00:00,1,1,28,6
2024-07-29 00:00:00+00:00,0,0,31,3
2024-07-30 00:00:00+00:00,0,0,16,3
2024-07-31 00:00:00+00:00,2,1,12,3
2024-08-01 00:00:00+00:00,0,0,17,3
2024-08-02 00:00:00+00:00,0,0,83,7
2024-08-03 00:00:00+00:00,0,0,73,6
2024-08-04 00:00:00+00:00,0,0,23,6
2024-08-05 00:00:00+00:00,1,1,100,8
2024-08-06 00:00:00+00:00,1,1,13,3
2024-08-07 00:00:00+00:00,0,0,16,9
2024-08-08 00:00:00+00:00,1,1,58,9
2024-08-09 00:00:00+00:00,3,2,91,13
2024-08-10 00:00:00+00:00,3,2,17,7
2024-08-11 00:00:00+00:00,1,1,31,7
2024-08-12 00:00:00+00:00,0,0,68,5
2024-08-13 00:00:00+00:00,0,0,99,10
2024-08-14 00:00:00+00:00,0,0,36,7
2024-08-15 00:00:00+00:00,3,3,13,4
2024-08-16 00:00:00+00:00,0,0,80,10
2024-08-17 00:00:00+00:00,2,1,102,9
2024-08-18 00:00:00+00:00,2,1,40,7
2024-08-19 00:00:00+00:00,0,0,29,5
2024-08-20 00:00:00+00:00,2,1,30,6
2024-08-21 00:00:00+00:00,0,0,57,4
2024-08-22 00:00:00+00:00,0,0,25,4
2024-08-23 00:00:00+00:00,0,0,72,7
2024-08-24 00:00:00+00:00,3,1,15,7
2024-08-25 00:00:00+00:00,0,0,142,9
2024-08-26 00:00:00+00:00,0,0,120,12
2024-08-27 00:00:00+00:00,2,1,21,6
2024-08-28 00:00:00+00:00,3,1,99,5
2024-08-29 00:00:00+00:00,3,3,48,9
2024-08-30 00:00:00+00:00,0,0,69,8
2024-08-31 00:00:00+00:00,2,1,43,6
2024-09-01 00:00:00+00:00,1,1,53,4
2024-09-02 00:00:00+00:00,1,1,36,3
2024-09-03 00:00:00+00:00,3,1,26,6
2024-09-04 00:00:00+00:00,3,1,61,10
2024-09-05 00:00:00+00:00,0,0,67,7
2024-09-06 00:00:00+00:00,3,1,61,5
2024-09-07 00:00:00+00:00,0,0,74,5
2024-09-08 00:00:00+00:00,1,1,19,4
2024-09-09 00:00:00+00:00,0,0,31,5
2024-09-10 00:00:00+00:00,0,0,50,6
2024-09-11 00:00:00+00:00,0,0,27,7
2024-09-12 00:00:00+00:00,3,2,114,8
2024-09-13 00:00:00+00:00,1,1,3,2
2024-09-14 00:00:00+00:00,0,0,9,2
2024-09-15 00:00:00+00:00,1,1,45,6
2024-09-16 00:00:00+00:00,4,3,89,6
2024-09-17 00:00:00+00:00,2,1,58,10
2024-09-18 00:00:00+00:00,0,0,13,4
2024-09-19 00:00:00+00:00,3,1,10,4
2024-09-20 00:00:00+00:00,6,6,14,6
2024-09-21 00:00:00+00:00,0,0,43,8
2024-09-22 00:00:00+00:00,1,1,14,4
2024-09-23 00:00:00+00:00,4,3,41,3
2024-09-24 00:00:00+00:00,0,0,45,8
2024-09-25 00:00:00+00:00,6,4,77,8
2024-09-26 00:00:00+00:00,3,1,22,6
2024-09-27 00:00:00+00:00,0,0,34,8
2024-09-28 00:00:00+00:00,0,0,20,5
2024-09-29 00:00:00+00:00,2,1,27,5
2024-09-30 00:00:00+00:00,0,0,12,5
2024-10-01 00:00:00+00:00,0,0,39,9
2024-10-02 00:00:00+00:00,20,19,24,7
2024-10-03 00:00:00+00:00,1,1,28,10
2024-10-04 00:00:00+00:00,0,0,45,4
2024-10-05 00:00:00+00:00,1,1,61,14
2024-10-06 00:00:00+00:00,0,0,39,6
2024-10-07 00:00:00+00:00,1,1,17,8
2024-10-08 00:00:00+00:00,2,1,17,6
2024-10-09 00:00:00+00:00,1,1,57,11
2024-10-10 00:00:00+00:00,2,1,27,5
2024-10-11 00:00:00+00:00,1,1,15,6
2024-10-12 00:00:00+00:00,0,0,23,8
